ID_CLIENTE,FECHA,TIPO DE CREDITO,COOPERATIVA,MONTO,PLAZO,PAGADURIA,ANIO_NACIMIENTO,ESTADO,FECHA DE DESEMBOLSO,EDAD_AL_PRESTAMO,DIAS_HASTA_DESEMBOLSO,MONTO_M,ANIO,MES
30,2019-07-30,LIBRE INVERSIÓN,COOPIDESARROLLO,500000.0,48.0,CASUR,1966,DESEMBOLSADO,2019-08-06,53.0,7.0,0.5,2019.0,7.0
31,2019-07-30,LIBRE INVERSIÓN,MISSION,1000000.0,24.0,POLICIA NACIONAL,1982,NO_DESEMBOLSADO,,37.0,,1.0,2019.0,7.0
32,2019-08-01,LIBRE INVERSIÓN,MISSION,3400000.0,60.0,COLPENSIONES,1931,DESEMBOLSADO,2019-08-08,88.0,7.0,3.4,2019.0,8.0
33,2019-08-01,LIBRE INVERSIÓN,MISSION,3000000.0,120.0,COLPENSIONES,1962,DESEMBOLSADO,2019-08-30,57.0,29.0,3.0,2019.0,8.0
34,2019-08-01,LIBRE INVERSIÓN,MISSION,40000000.0,108.0,CASUR,1958,NO_DESEMBOLSADO,,61.0,,40.0,2019.0,8.0
35,2019-08-02,LIBRE INVERSIÓN,COOPIDESARROLLO,2500000.0,60.0,CASUR,1939,DESEMBOLSADO,2019-08-06,80.0,4.0,2.5,2019.0,8.0
36,2019-08-08,REFINANCIACIÓN,COPFINANCIAR,,72.0,PROTECCION,1959,DESEMBOLSADO,2019-08-23,60.0,15.0,,2019.0,8.0
37,2019-08-09,COMPRA DE CARTERA,COOPIDESARROLLO,2500000.0,72.0,CASUR,1945,NO_DESEMBOLSADO,,74.0,,2.5,2019.0,8.0
38,2019-08-09,LIBRE INVERSIÓN,COPFINANCIAR,4000000.0,60.0,COLPENSIONES,1952,DESEMBOLSADO,2019-08-28,67.0,19.0,4.0,2019.0,8.0
39,2019-08-09,REFINANCIACIÓN,COOPIDESARROLLO,9000000.0,72.0,CREMIL,1960,DESEMBOLSADO,2019-08-23,59.0,14.0,9.0,2019.0,8.0
